,Organization,review_status,proportion_local_div,3A,3B,3C,3D,3E,3F,3G,3H,3I,3J,4A,4B,4C,4D,4E,4F,4G,4H,4I,5A,5B,5C,5D,5E,5F,5G,5H,5I,6A,6B,6C,6D,6E,6F,6G,6H,6I,7A,7B,7C,7D,7E,7F,7G,7H,7I,8A,8B,8C,8D,8E,8F,8G,8H,8I,8J,9A,9B,9C,9D,9E,9F,9G,10,benchmark_group,number_of_employees,number_of_years,workforce,9H
11,Company 1L,Yes,Significant disparities (ie - one or more groups that represent >10% population not represented in our workforce),12.0,71.0,30.0,NaN,NaN,NaN,10.0,NaN,NaN,NaN,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.0,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.0,8.0,NaN,17.0,NaN,5.0,NaN,NaN,NaN,1.0,,,,,,,,,,,,,,,,No,N/A - No targets set,NonProfit,Fewer than 100 Employees,5-14 years,We have a mixed workforce of hourly and salaried employees,
12,Company 1M,Yes,Significant disparities (ie - one or more groups that represent >10% population not represented in our workforce),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,null,null,null,null,null,null,null,null,null,,,,,,,No,N/A - No targets set,,Fewer than 100 Employees,15 or more years,At least 80% of employees are Salaried,
13,Company 1N,No,null,78.0,36.0,4.0,7.0,36.0,0.0,0.0,7.0,NaN,NaN,48.0,0.0,0.0,30.0,0.0,0.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.0,0.0,0.0,0.0,0.0,0.0,13.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,4.0,0.0,1.0,2.0,null,null,2.0,null,null,,,,,,,No,N/A - No targets set,Technology,Fewer than 100 Employees,Fewer than 5 years,At least 80% of employees are Salaried,
14,Company 1O,Yes,Significant disparities (ie - one or more groups that represent >10% population not represented in our workforce),90.0,48.0,6.0,2.0,8.0,0.0,2.0,5.0,0.0,0.0,52.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,C-Suite,Board/Advisory Bodies,Senior Management,Management,,,,Nearing goals (66-99% targets met),Technology,Fewer than 100 Employees,Fewer than 5 years,At least 80% of employees are Salaried,
15,Company 1P,No,null,131.0,50.0,4.0,1.0,7.0,0.0,1.0,NaN,NaN,NaN,41.0,5.0,0.0,5.0,0.0,0.0,NaN,NaN,NaN,50.0,0.0,0.0,13.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,16.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,null,null,,,,,,,No,N/A - No targets set,,100-249 Employees,5-14 years,We have a mixed workforce of hourly and salaried employees,
16,Company 1Q,No,null,332.0,49.0,5.0,3.0,7.0,0.0,3.0,NaN,NaN,1.0,40.0,1.0,1.0,6.0,0.0,1.0,NaN,NaN,1.0,32.0,2.0,0.0,3.0,0.0,0.0,NaN,NaN,0.0,38.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,No,N/A - No targets set,Finance,250-999 Employees,5-14 years,At least 80% of employees are Salaried,
17,Company 1R,No,null,56.0,37.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,19.0,null,null,null,null,null,null,null,null,,,,,,,No,N/A - No targets set,Technology,Fewer than 100 Employees,Fewer than 5 years,At least 80% of employees are Salaried,
18,Company 1S,No,null,1347.0,69.0,4.0,12.0,6.0,1.0,2.0,NaN,NaN,NaN,57.0,2.0,8.0,3.0,0.0,2.0,NaN,NaN,NaN,35.0,2.0,0.0,NaN,0.0,0.0,NaN,NaN,NaN,14.0,0.0,0.0,14.0,0.0,0.0,NaN,NaN,NaN,44.0,22.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,null,null,null,null,null,null,null,null,,Board/Advisory Bodies,,,,,,NaN,Technology,"1000-4,999 Employees",Fewer than 5 years,We have a mixed workforce of hourly and salaried employees,
19,Company 1T,No,null,181.0,50.0,6.0,7.0,5.0,0.0,3.0,NaN,3.0,NaN,38.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,8.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,null,null,null,null,null,null,null,null,null,,,,,,,No,N/A - No targets set,Technology,100-249 Employees,5-14 years,We have a mixed workforce of hourly and salaried employees,
20,Company 1U,No,null,56.0,39.0,2.0,9.0,4.0,0.0,2.0,5.0,0.0,NaN,29.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,NaN,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,No,N/A - No targets set,Finance,Fewer than 100 Employees,15 or more years,At least 80% of employees are Salaried,
21,Company 1V,No,null,37.0,15.0,NaN,NaN,NaN,NaN,NaN,2.0,NaN,NaN,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,null,null,null,null,null,null,null,null,,,,,,,No,N/A - No targets set,Finance,Fewer than 100 Employees,5-14 years,At least 80% of employees are Salaried,
22,Company 1W,Yes,Minimal to no disparities (ie - the differential between our workforce and the population across different groups is 5% or less per group),6.0,100.0,33.0,66.0,16.0,0.0,16.0,33.0,NaN,NaN,4.0,50.0,50.0,25.0,NaN,25.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,,,,,,,,,,,,,,,,No,N/A - No targets set,NonProfit,Fewer than 100 Employees,15 or more years,We have a mixed workforce of hourly and salaried employees,
23,Company 1X,No,null,1481.0,34.0,6.0,4.0,22.0,1.0,5.0,NaN,NaN,NaN,NaN,4.0,3.0,26.0,2.0,3.0,NaN,NaN,NaN,NaN,6.0,0.0,38.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,0.0,50.0,0.0,0.0,NaN,NaN,NaN,33.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,null,null,null,null,null,null,null,null,null,,,Senior Management,Management,,,,Goals met,Technology,"1000-4,999 Employees",5-14 years,At least 80% of employees are Salaried,
